embedding_model,vector_db,chunking_strategy,execution_time,memory_usage
large,chroma,mistral,29.771559715270996,-13.24609375
large,qdrant,mistral,17.16365583737691,-38.036458333333336
large,redis,mistral,18.517814179261524,-35.7578125
medium,chroma,mistral,15.956282496452332,-24.6982421875
medium,qdrant,mistral,22.625259776910145,-30.786458333333332
medium,redis,mistral,17.415791153907776,-29.553385416666668
minilm,chroma,large,6.827735245227814,-19.86328125
minilm,chroma,medium,8.014439821243286,-15.06640625
minilm,chroma,small,7.232337594032288,-11.69921875
minilm,qdrant,large,8.210358738899231,-24.7890625
minilm,qdrant,medium,7.24440598487854,-7.640625
minilm,qdrant,small,6.873232126235962,-9.8515625
minilm,redis,large,9.78738272190094,-12.01953125
minilm,redis,medium,9.15939849615097,-5.61328125
minilm,redis,small,8.701826333999634,-10.04296875
mpnet,chroma,large,8.282635807991028,0.16796875
mpnet,chroma,medium,7.194771587848663,-13.55078125
mpnet,chroma,small,8.234761834144592,-8.41796875
mpnet,qdrant,large,7.772155225276947,-15.21484375
mpnet,qdrant,medium,6.700269103050232,-83.91015625
mpnet,qdrant,small,8.045300900936127,-17.62890625
mpnet,redis,large,7.92421692609787,0.09375
mpnet,redis,medium,7.953380227088928,-12.69921875
mpnet,redis,small,7.191643297672272,-5.515625
nomic,chroma,large,7.907113254070282,-69.921875
nomic,chroma,medium,7.376009225845337,-86.09375
nomic,chroma,small,8.931314408779144,-164.62890625
nomic,qdrant,large,8.94549709558487,-69.75390625
nomic,qdrant,medium,7.4356982707977295,-70.4375
nomic,qdrant,small,7.4637632966041565,-173.125
nomic,redis,large,7.694058001041412,-67.76171875
nomic,redis,medium,7.39899480342865,-75.17578125
nomic,redis,small,8.047339797019958,-141.16015625
small,chroma,mistral,14.982783754666647,-57.885416666666664
small,qdrant,mistral,32.267630994319916,-35.305989583333336
small,redis,mistral,16.444494704405468,-59.83984375
